Year,Month,Mth id,Multiplier,Stop
1,3,1,1.008367,528351
1,4,2,1.016803,532771
1,5,3,1.025311,537229
1,6,4,1.033889,541724
1,7,5,1.042539,546256
1,8,6,1.051262,550826
1,9,7,1.060057,555435
1,10,8,1.068927,560082
1,11,9,1.077870,564768
1,12,10,1.086888,569493
2,1,11,1.095982,574258
2,2,12,1.105151,579063
2,3,13,1.114398,583908
2,4,14,1.123722,588793
2,5,15,1.133123,593719
2,6,16,1.142604,598687
2,7,17,1.152164,603696
2,8,18,1.161803,608747
2,9,19,1.171524,613840
2,10,20,1.181326,618976
2,11,21,1.191209,624154
2,12,22,1.201176,629376
3,1,23,1.211226,634642
3,2,24,1.221360,639952
3,3,25,1.231578,645306
3,4,26,1.241882,650705
3,5,27,1.252273,656150
3,6,28,1.262750,661639
3,7,29,1.273315,667175
3,8,30,1.283969,672757
3,9,31,1.294711,678386
3,10,32,1.305544,684062
3,11,33,1.316467,689785
3,12,34,1.327481,695556
4,1,35,1.338588,701376
4,2,36,1.349787,707244
4,3,37,1.361080,713161
4,4,38,1.372468,719128
4,5,39,1.383951,725145
4,6,40,1.395530,731212
4,7,41,1.407206,737330
4,8,42,1.418980,743499
4,9,43,1.430852,749719
4,10,44,1.442823,755992
4,11,45,1.454895,762317
4,12,46,1.467068,768695
5,1,47,1.479342,775126
5,2,48,1.491719,781612
5,3,49,1.504200,788151
5,4,50,1.516785,794745
5,5,51,1.529475,801395
5,6,52,1.542272,808100
5,7,53,1.555176,814861
5,8,54,1.568187,821678
5,9,55,1.581308,828553
5,10,56,1.594538,835485
5,11,57,1.607879,842476
5,12,58,1.621332,849524
6,1,59,1.634897,856632
6,2,60,1.648576,863799
6,3,61,1.662369,871026
6,4,62,1.676277,878314
6,5,63,1.690302,885662
6,6,64,1.704444,893072
6,7,65,1.718705,900545
6,8,66,1.733084,908079
6,9,67,1.747585,915677
6,10,68,1.762206,923338
6,11,69,1.776950,931063
6,12,70,1.791817,938853
7,1,71,1.806809,946708
7,2,72,1.821926,954629
7,3,73,1.837169,962616
7,4,74,1.852540,970670
7,5,75,1.868040,978791
7,6,76,1.883669,986980
7,7,77,1.899429,995238
7,8,78,1.915321,1003565
7,9,79,1.931346,1011961
7,10,80,1.947505,1020428
7,11,81,1.963799,1028966
7,12,82,1.980229,1037575
8,1,83,1.996797,1046256
8,2,84,2.013504,1055009
8,3,85,2.030350,1063836
8,4,86,2.047337,1072737
8,5,87,2.064466,1081712
8,6,88,2.081739,1090763
8,7,89,2.099156,1099889
8,8,90,2.116719,1109091
8,9,91,2.134429,1118370
8,10,92,2.152287,1127728
8,11,93,2.170295,1137163
8,12,94,2.188453,1146677
9,1,95,2.206763,1156271
9,2,96,2.225226,1165945
9,3,97,2.243844,1175700
9,4,98,2.262617,1185537
9,5,99,2.281548,1195456
9,6,100,2.300637,1205458
9,7,101,2.319886,1215543
9,8,102,2.339295,1225714
9,9,103,2.358867,1235969
9,10,104,2.378603,1246310
9,11,105,2.398504,1256737
9,12,106,2.418572,1267252
10,1,107,2.438807,1277854
10,2,108,2.459212,1288546
10,3,109,2.479787,1299327
10,4,110,2.500535,1310198
10,5,111,2.521456,1321160
10,6,112,2.542552,1332213
10,7,113,2.563825,1343360
10,8,114,2.585275,1354599
10,9,115,2.606906,1365932
10,10,116,2.628717,1377361
10,11,117,2.650710,1388885
10,12,118,2.672888,1400505
11,1,119,2.695251,1412223
11,2,120,2.717801,1424038
11,3,121,2.740540,1435953
11,4,122,2.763469,1447967
11,5,123,2.786590,1460081
11,6,124,2.809905,1472297
11,7,125,2.833414,1484616
11,8,126,2.857121,1497037
11,9,127,2.881025,1509562
11,10,128,2.905130,1522192
11,11,129,2.929436,1534928
11,12,130,2.953946,1547770
12,1,131,2.978660,1560720
12,2,132,3.003582,1573778
12,3,133,3.028712,1586945
12,4,134,3.054052,1600223
12,5,135,3.079604,1613611
12,6,136,3.105370,1627112
12,7,137,3.131352,1640725
12,8,138,3.157551,1654452
12,9,139,3.183969,1668295
12,10,140,3.210608,1682253
12,11,141,3.237470,1696328
12,12,142,3.264557,1710520
13,1,143,3.291871,1724832
13,2,144,3.319413,1739263
13,3,145,3.347185,1753815
13,4,146,3.375190,1768488
13,5,147,3.403429,1783284
13,6,148,3.431904,1798205
13,7,149,3.460618,1813250
13,8,150,3.489572,1828420
13,9,151,3.518768,1843718
13,10,152,3.548208,1859144
13,11,153,3.577895,1874699
13,12,154,3.607830,1890384
14,1,155,3.638015,1906200
14,2,156,3.668453,1922149
14,3,157,3.699146,1938231
14,4,158,3.730096,1954447
14,5,159,3.761304,1970799
14,6,160,3.792774,1987288
14,7,161,3.824507,2003915
14,8,162,3.856505,2020681
14,9,163,3.888771,2037588
14,10,164,3.921307,2054636
14,11,165,3.954115,2071826
14,12,166,3.987198,2089160
