Year,Month,Mth id,Multiplier,Stop
2017,3,1,1.008050,528185
2017,4,2,1.016165,532437
2017,5,3,1.024345,536723
2017,6,4,1.032591,541044
2017,7,5,1.040903,545399
2017,8,6,1.049283,549789
2017,9,7,1.057729,554215
2017,10,8,1.066244,558677
2017,11,9,1.074827,563174
2017,12,10,1.083480,567708
2018,1,11,1.092202,572278
2018,2,12,1.100994,576884
2018,3,13,1.109857,581528
2018,4,14,1.118791,586210
2018,5,15,1.127797,590929
2018,6,16,1.136876,595686
2018,7,17,1.146028,600481
2018,8,18,1.155254,605315
2018,9,19,1.164553,610188
2018,10,20,1.173928,615100
2018,11,21,1.183378,620051
2018,12,22,1.192904,625043
2019,1,23,1.202507,630074
2019,2,24,1.212187,635146
2019,3,25,1.221946,640259
2019,4,26,1.231782,645413
2019,5,27,1.241698,650609
2019,6,28,1.251694,655846
2019,7,29,1.261770,661126
2019,8,30,1.271927,666448
2019,9,31,1.282166,671813
2019,10,32,1.292488,677221
2019,11,33,1.302892,682672
2019,12,34,1.313380,688168
2020,1,35,1.323953,693708
2020,2,36,1.334611,699292
2020,3,37,1.345355,704921
2020,4,38,1.356185,710596
2020,5,39,1.367102,716316
2020,6,40,1.378107,722083
2020,7,41,1.389201,727895
2020,8,42,1.400384,733755
2020,9,43,1.411657,739662
2020,10,44,1.423021,745616
2020,11,45,1.434476,751618
2020,12,46,1.446024,757669
2021,1,47,1.457664,763768
2021,2,48,1.469398,769916
2021,3,49,1.481227,776114
2021,4,50,1.493151,782362
2021,5,51,1.505171,788660
2021,6,52,1.517287,795009
2021,7,53,1.529502,801408
2021,8,54,1.541814,807860
2021,9,55,1.554226,814363
2021,10,56,1.566737,820919
2021,11,57,1.579349,827527
2021,12,58,1.592063,834189
2022,1,59,1.604879,840904
2022,2,60,1.617799,847673
2022,3,61,1.630822,854497
2022,4,62,1.643950,861376
2022,5,63,1.657184,868310
2022,6,64,1.670524,875299
2022,7,65,1.683972,882346
2022,8,66,1.697528,889449
2022,9,67,1.711193,896609
2022,10,68,1.724968,903826
2022,11,69,1.738854,911102
2022,12,70,1.752852,918436
2023,1,71,1.766962,925830
2023,2,72,1.781186,933283
2023,3,73,1.795525,940796
2023,4,74,1.809979,948369
2023,5,75,1.824549,956004
2023,6,76,1.839237,963699
2023,7,77,1.854043,971457
2023,8,78,1.868968,979277
2023,9,79,1.884013,987161
2023,10,80,1.899179,995107
2023,11,81,1.914467,1003118
2023,12,82,1.929879,1011193
2024,1,83,1.945414,1019333
2024,2,84,1.961075,1027539
2024,3,85,1.976862,1035810
2024,4,86,1.992775,1044149
2024,5,87,2.008817,1052554
2024,6,88,2.024988,1061027
2024,7,89,2.041289,1069568
2024,8,90,2.057722,1078178
2024,9,91,2.074286,1086858
2024,10,92,2.090984,1095607
2024,11,93,2.107817,1104426
2024,12,94,2.124785,1113317
2025,1,95,2.141889,1122279
2025,2,96,2.159132,1131314
2025,3,97,2.176513,1140421
2025,4,98,2.194033,1149601
2025,5,99,2.211695,1158855
2025,6,100,2.229500,1168184
2025,7,101,2.247447,1177588
2025,8,102,2.265539,1187068
2025,9,103,2.283777,1196624
2025,10,104,2.302161,1206256
2025,11,105,2.320693,1215967
2025,12,106,2.339375,1225755
2026,1,107,2.358207,1235623
2026,2,108,2.377191,1245569
2026,3,109,2.396327,1255596
2026,4,110,2.415617,1265704
2026,5,111,2.435063,1275893
2026,6,112,2.454665,1286164
2026,7,113,2.474425,1296517
2026,8,114,2.494344,1306954
2026,9,115,2.514424,1317475
2026,10,116,2.534665,1328081
2026,11,117,2.555069,1338772
2026,12,118,2.575637,1349549
2027,1,119,2.596371,1360413
2027,2,120,2.617272,1371364
2027,3,121,2.638341,1382404
2027,4,122,2.659580,1393532
2027,5,123,2.680989,1404750
2027,6,124,2.702571,1416058
2027,7,125,2.724327,1427457
2027,8,126,2.746258,1438949
2027,9,127,2.768365,1450532
2027,10,128,2.790651,1462209
2027,11,129,2.813115,1473980
2027,12,130,2.835761,1485845
2028,1,131,2.858589,1497806
2028,2,132,2.881600,1509864
2028,3,133,2.904797,1522018
2028,4,134,2.928181,1534270
2028,5,135,2.951753,1546621
2028,6,136,2.975514,1559071
2028,7,137,2.999467,1571622
2028,8,138,3.023613,1584273
2028,9,139,3.047953,1597027
2028,10,140,3.072489,1609883
2028,11,141,3.097223,1622842
2028,12,142,3.122155,1635906
2029,1,143,3.147289,1649075
2029,2,144,3.172624,1662350
2029,3,145,3.198164,1675732
2029,4,146,3.223909,1689222
2029,5,147,3.249862,1702820
2029,6,148,3.276023,1716528
2029,7,149,3.302395,1730346
2029,8,150,3.328979,1744275
2029,9,151,3.355778,1758317
2029,10,152,3.382792,1772471
2029,11,153,3.410023,1786740
2029,12,154,3.437474,1801123
2030,1,155,3.465145,1815622
2030,2,156,3.493040,1830238
2030,3,157,3.521159,1844971
2030,4,158,3.549504,1859823
2030,5,159,3.578078,1874795
2030,6,160,3.606881,1889887
2030,7,161,3.635917,1905100
2030,8,162,3.665186,1920436
2030,9,163,3.694690,1935896
2030,10,164,3.724433,1951480
2030,11,165,3.754414,1967189
2030,12,166,3.784637,1983025
