Date,Total,MTH AVG,Milford
07/04/17,49987,0.00%,49987
10/04/17,49857,(0.26%),49857
11/04/17,49975,(0.02%),49975
12/04/17,50039,0.10%,50039
13/04/17,50074,0.17%,50074
18/04/17,49994,0.01%,49994
19/04/17,49745,(0.48%),49745
20/04/17,49577,(0.82%),49577
21/04/17,49565,(0.84%),49565
24/04/17,49652,(0.67%),49652
26/04/17,49801,(0.37%),49801
27/04/17,49980,(0.01%),49980
28/04/17,50038,0.10%,50038
1/05/17,50114,0.15%,50114
2/05/17,50254,0.43%,50254
3/05/17,50256,0.44%,50256
4/05/17,50234,0.39%,50234
5/05/17,50166,0.26%,50166
8/05/17,50143,0.21%,50143
9/05/17,50230,0.38%,50230
10/05/17,50270,0.46%,50270
11/05/17,50359,0.64%,50359
12/05/17,50431,0.79%,50431
15/05/17,50366,0.66%,50366
16/05/17,54382,8.68%,54382
17/05/17,54338,8.59%,54338
18/05/17,54247,8.41%,54247
19/05/17,54229,8.38%,54229
22/05/17,54288,8.49%,54288
23/05/17,54312,8.54%,54312
24/05/17,54338,8.59%,54338
25/05/17,54406,8.73%,54406
26/05/17,54422,8.76%,54422
29/05/17,54338,8.59%,54338
30/05/17,54239,8.40%,54239
31/05/17,54258,8.43%,54258
1/06/17,58324,7.49%,58324
2/06/17,58399,7.63%,58399
6/06/17,58432,7.69%,58432
7/06/17,58309,7.47%,58309
8/06/17,58269,7.39%,58269
9/06/17,58212,7.29%,58212
12/06/17,58207,7.28%,58207
13/06/17,58309,7.47%,58309
14/06/17,58470,7.76%,58470
15/06/17,58621,8.04%,58621
16/06/17,58639,8.07%,58639
19/06/17,58755,8.29%,58755
20/06/17,58765,8.31%,58765
21/06/17,58608,8.02%,58608
22/06/17,58452,7.73%,58452
23/06/17,58505,7.83%,58505
26/06/17,58520,7.86%,58520
27/06/17,58553,7.92%,58553
28/06/17,58595,7.99%,58595
29/06/17,58672,8.14%,58672
30/06/17,58689,8.17%,58689
3/07/17,62476,6.45%,62476
4/07/17,62499,6.49%,62499
5/07/17,62571,6.61%,62571
6/07/17,62544,6.57%,62544
7/07/17,62514,6.52%,62514
10/07/17,62422,6.36%,62422
11/07/17,62383,6.29%,62383
12/07/17,62402,6.33%,62402
13/07/17,62333,6.21%,62333
14/07/17,62522,6.53%,62522
17/07/17,62733,6.89%,62733
18/07/17,62741,6.90%,62741
19/07/17,62770,6.95%,62770
20/07/17,62835,7.06%,62835
21/07/17,62802,7.01%,62802
24/07/17,62618,6.69%,62618
25/07/17,62672,6.79%,62672
26/07/17,62846,7.08%,62846
27/07/17,62963,7.28%,62963
28/07/17,62901,7.18%,62901
31/07/17,62749,6.92%,62749
1/08/17,62884,0.22%,62884
2/08/17,67028,6.82%,67028
3/08/17,67077,6.90%,67077
4/08/17,67085,6.91%,67085
7/08/17,67122,6.97%,67122
8/08/17,67290,7.24%,67290
9/08/17,67273,7.21%,67273
10/08/17,67289,7.24%,67289
11/08/17,67336,7.31%,67336
14/08/17,67153,7.02%,67153
15/08/17,67438,7.47%,67438
16/08/17,67607,7.74%,67607
17/08/17,67768,8.00%,67768
18/08/17,67783,8.02%,67783
21/08/17,67693,7.88%,67693
22/08/17,67732,7.94%,67732
23/08/17,67789,8.03%,67789
24/08/17,67907,8.22%,67907
25/08/17,67907,8.22%,67907
28/08/17,67887,8.19%,67887
29/08/17,67725,7.93%,67725
30/08/17,67586,7.71%,67586
31/08/17,67795,8.04%,67795
1/09/17,71987,6.18%,71987
4/09/17,72099,6.35%,72099
5/09/17,71936,6.11%,71936
6/09/17,71919,6.08%,71919
7/09/17,71887,6.04%,71887
8/09/17,72034,6.25%,72034
11/09/17,72095,6.34%,72095
12/09/17,72179,6.47%,72179
13/09/17,72170,6.45%,72170
14/09/17,72128,6.39%,72128
15/09/17,72123,6.38%,72123
18/09/17,71854,5.99%,71854
19/09/17,72020,6.23%,72020
20/09/17,71801,5.91%,71801
21/09/17,71828,5.95%,71828
22/09/17,71636,5.67%,71636
25/09/17,71788,5.89%,71788
26/09/17,72006,6.21%,72006
27/09/17,72087,6.33%,72087
28/09/17,72066,6.30%,72066
29/09/17,72061,6.29%,72061
2/10/17,76083,5.58%,76083
3/10/17,76245,5.81%,76245
4/10/17,76258,5.82%,76258
5/10/17,76270,5.84%,76270
6/10/17,76284,5.86%,76284
9/10/17,76505,6.17%,76505
10/10/17,76700,6.44%,76700
11/10/17,76968,6.81%,76968
12/10/17,77112,7.01%,77112
13/10/17,77122,7.02%,77122
16/10/17,77211,7.15%,77211
17/10/17,77318,7.30%,77318
18/10/17,77468,7.50%,77468
19/10/17,77671,7.79%,77671
20/10/17,77989,8.23%,77989
24/10/17,78076,8.35%,78076
25/10/17,78161,8.47%,78161
26/10/17,78266,8.61%,78266
27/10/17,78328,8.70%,78328
30/10/17,78302,8.66%,78302
31/10/17,78546,9.00%,78546
1/11/17,82564,5.12%,82564
2/11/17,82402,4.91%,82402
3/11/17,82580,5.14%,82580
6/11/17,82598,5.16%,82598
7/11/17,82695,5.28%,82695
8/11/17,82727,5.32%,82727
9/11/17,82725,5.32%,82725
10/11/17,82602,5.16%,82602
13/11/17,82496,5.03%,82496
14/11/17,82472,5.00%,82472
15/11/17,82314,4.80%,82314
16/11/17,82389,4.89%,82389
17/11/17,82603,5.17%,82603
20/11/17,82628,5.20%,82628
21/11/17,82755,5.36%,82755
22/11/17,82826,5.45%,82826
23/11/17,82820,5.44%,82820
24/11/17,82886,5.53%,82886
27/11/17,82841,5.47%,82841
28/11/17,83039,5.72%,83039
29/11/17,82995,5.66%,82995
30/11/17,83155,5.87%,83155
1/12/17,83112,(0.05%),83112
4/12/17,83150,(0.01%),83150
5/12/17,83039,(0.14%),83039
6/12/17,82908,(0.30%),82908
7/12/17,82953,(0.24%),82953
8/12/17,83248,0.11%,83248
11/12/17,83352,0.24%,83352
12/12/17,83294,0.17%,83294
13/12/17,83314,0.19%,83314
14/12/17,83271,0.14%,83271
15/12/17,83508,0.42%,83508
18/12/17,83650,0.60%,83650
19/12/17,83919,0.92%,83919
20/12/17,84100,1.14%,84100
21/12/17,84183,1.24%,84183
22/12/17,84148,1.19%,84148
27/12/17,84224,1.29%,84224
28/12/17,84330,1.41%,84330
29/12/17,84281,1.35%,84281
03/01/18,84565,0.34%,84565
04/01/18,84688,0.48%,84688
05/01/18,84904,0.74%,84904
08/01/18,84839,0.66%,84839
09/01/18,84868,0.70%,84868
10/01/18,84481,0.24%,84481
11/01/18,84102,(0.21%),84102
12/01/18,84165,(0.14%),84165
15/01/18,84064,(0.26%),84064
16/01/18,84226,(0.07%),84226
17/01/18,84226,(0.07%),84226
18/01/18,84226,(0.07%),84226
19/01/18,84362,0.10%,84362
22/01/18,84435,0.18%,84435
23/01/18,84435,0.18%,84435
24/01/18,84435,0.18%,84435
25/01/18,84823,0.64%,84823
26/01/18,84780,0.59%,84780
29/01/18,84780,0.59%,84780
30/01/18,84735,0.54%,84735
31/01/18,84601,0.38%,84601
01/02/18,84836,0.28%,84836
02/02/18,84912,0.37%,84912
05/02/18,83783,(0.97%),83783
07/02/18,82860,(2.06%),82860
08/02/18,82470,(2.52%),82470
09/02/18,81492,(3.67%),81492
12/02/18,81299,(3.90%),81299
13/02/18,81725,(3.40%),81725
14/02/18,81439,(3.74%),81439
15/02/18,82083,(2.98%),82083
16/02/18,82399,(2.60%),82399
19/02/18,82709,(2.24%),82709
20/02/18,82790,(2.14%),82790
21/02/18,83087,(1.79%),83087
22/02/18,83439,(1.37%),83439
23/02/18,83852,(0.89%),83852
26/02/18,84360,(0.28%),84360
27/02/18,84642,0.05%,84642
28/02/18,84541,(0.07%),84541
01/03/18,84145,(0.47%),84145
02/03/18,83523,(1.20%),83523
05/03/18,83247,(1.53%),83247
06/03/18,83765,(0.92%),83765
07/03/18,83652,(1.05%),83652
08/03/18,83911,(0.75%),83911
09/03/18,84566,0.03%,84566
12/03/18,85129,0.70%,85129
13/03/18,85112,0.68%,85112
14/03/18,84874,0.39%,84874
15/03/18,84860,0.38%,84860
16/03/18,84974,0.51%,84974
19/03/18,85033,0.58%,85033
20/03/18,84724,0.22%,84724
21/03/18,85045,0.60%,85045
22/03/18,84921,0.45%,84921
23/03/18,83859,(0.81%),83859
26/03/18,83113,(1.69%),83113
27/03/18,83858,(0.81%),83858
28/03/18,83335,(1.43%),83335
29/03/18,83106,(1.70%),83106
03/04/18,83444,0.41%,83444
04/04/18,83040,(0.08%),83040
05/04/18,83017,(0.11%),83017
06/04/18,82978,(0.15%),82978
09/04/18,82707,(0.48%),82707
10/04/18,82997,(0.13%),82997
11/04/18,83131,0.03%,83131
12/04/18,82809,(0.36%),82809
13/04/18,82853,(0.30%),82853
16/04/18,82932,(0.21%),82932
17/04/18,82990,(0.14%),82990
18/04/18,83584,0.58%,83584
19/04/18,83728,0.75%,83728
20/04/18,83553,0.54%,83553
23/04/18,83287,0.22%,83287
24/04/18,83406,0.36%,83406
26/04/18,83385,0.34%,83385
27/04/18,83661,0.67%,83661
30/04/18,83895,0.95%,83895
01/05/18,83985,0.11%,83985
02/05/18,84318,0.50%,84318
03/05/18,84472,0.69%,84472
04/05/18,84512,0.74%,84512
07/05/18,84776,1.05%,84776
08/05/18,84835,1.12%,84835
09/05/18,85000,1.32%,85000
10/05/18,85192,1.55%,85192
11/05/18,85426,1.82%,85426
14/05/18,85650,2.09%,85650
15/05/18,85539,1.96%,85539
16/05/18,85281,1.65%,85281
17/05/18,85327,1.71%,85327
18/05/18,85216,1.57%,85216
21/05/18,85332,1.71%,85332
22/05/18,85252,1.62%,85252
23/05/18,85159,1.51%,85159
24/05/18,85259,1.63%,85259
25/05/18,85305,1.68%,85305
28/05/18,85282,1.65%,85282
29/05/18,85157,1.50%,85157
30/05/18,85265,1.63%,85265
31/05/18,85240,1.60%,85240
01/06/18,85215,(0.03%),85215
05/06/18,85448,0.24%,85448
06/06/18,85590,0.41%,85590
07/06/18,85727,0.57%,85727
08/06/18,85791,0.65%,85791
11/06/18,85844,0.71%,85844
12/06/18,85968,0.85%,85968
13/06/18,85832,0.69%,85832
14/06/18,85809,0.67%,85809
15/06/18,86100,1.01%,86100
18/06/18,85897,0.77%,85897
