Date,Total,MTH AVG,Super,MKA,MKC,MKB
31/03/17,127758,,0,127758,0,0
05/04/17,127407,(0.27%),0,127407,0,0
06/04/17,127322,(0.34%),0,127322,0,0
07/04/17,127220,(0.42%),0,127220,0,0
10/04/17,127547,(0.17%),0,127547,0,0
11/04/17,127811,0.04%,0,127811,0,0
12/04/17,127609,(0.12%),0,25361,25562,76686
13/04/17,127264,(0.39%),0,25309,25544,76411
18/04/17,127163,(0.47%),0,25281,25541,76341
19/04/17,127032,(0.57%),0,25232,25544,76256
20/04/17,127169,(0.46%),0,25226,25559,76384
21/04/17,127321,(0.34%),0,25305,25551,76465
24/04/17,127713,(0.04%),0,25385,25572,76756
26/04/17,129105,1.05%,0,25674,25748,77683
27/04/17,129295,1.20%,0,25734,25765,77796
28/04/17,129365,1.26%,0,25756,25778,77831
01/05/17,129471,0.08%,0,25798,25793,77880
02/05/17,129816,0.35%,0,25860,25825,78131
03/05/17,129845,0.37%,0,25866,25833,78146
04/05/17,130461,0.85%,0,25972,25934,78555
05/05/17,130374,0.78%,0,25963,25911,78500
08/05/17,130536,0.91%,0,26008,25922,78606
09/05/17,130695,1.03%,0,26058,25934,78703
10/05/17,130904,1.19%,0,26125,25958,78821
11/05/17,131231,1.44%,0,26201,25998,79032
12/05/17,131539,1.68%,0,26227,26100,79212
15/05/17,131510,1.66%,0,26211,26115,79184
16/05/17,131666,1.78%,0,26246,26126,79294
17/05/17,131132,1.37%,0,26154,26088,78890
18/05/17,131000,1.26%,0,26077,26088,78835
19/05/17,131371,1.55%,0,26144,26136,79091
22/05/17,131424,1.59%,0,26188,26145,79091
23/05/17,131379,1.56%,0,26182,26153,79044
24/05/17,131657,1.77%,0,26253,26171,79233
25/05/17,131782,1.87%,0,26295,26192,79295
26/05/17,131737,1.83%,0,26285,26196,79256
29/05/17,131668,1.78%,0,26233,26179,79256
30/05/17,131427,1.59%,0,26206,26177,79044
31/05/17,131454,1.61%,0,26213,26187,79054
01/06/17,131824,0.28%,0,26263,26216,79345
02/06/17,132048,0.45%,0,26339,26226,79483
06/06/17,131544,0.07%,0,26233,26205,79106
07/06/17,131511,0.04%,0,26199,26210,79102
08/06/17,131375,(0.06%),0,26176,26199,79000
09/06/17,131325,(0.10%),0,26152,26189,78984
12/06/17,131204,(0.19%),0,26131,26179,78894
13/06/17,131548,0.07%,0,26224,26210,79114
14/06/17,131645,0.15%,0,26301,26222,79122
15/06/17,131793,0.26%,0,26300,26253,79240
16/06/17,131854,0.30%,0,26333,26246,79275
19/06/17,132239,0.60%,0,26409,26276,79554
20/06/17,131990,0.41%,0,26386,26243,79361
21/06/17,131657,0.15%,0,26286,26230,79141
22/06/17,131687,0.18%,0,26320,26230,79137
23/06/17,131724,0.21%,0,26341,26238,79145
26/06/17,131733,0.21%,0,26342,26246,79145
27/06/17,131723,0.20%,0,26360,26253,79110
28/06/17,131771,0.24%,0,26418,26243,79110
29/06/17,131904,0.34%,0,26509,26230,79165
30/06/17,131337,(0.09%),0,26388,26167,78782
03/07/17,131268,(0.05%),0,26350,26155,78763
04/07/17,131473,0.10%,0,26387,26190,78896
05/07/17,131512,0.13%,0,26399,26201,78912
06/07/17,132075,0.56%,0,51557,34366,46152
07/07/17,131895,0.42%,0,51487,34325,46083
10/07/17,132441,0.84%,0,51699,34463,46279
11/07/17,132671,1.02%,0,51856,34467,46348
12/07/17,132399,0.81%,0,51756,34421,46222
13/07/17,132580,0.95%,0,51844,34452,46284
14/07/17,132884,1.18%,0,52009,34476,46399
17/07/17,133004,1.27%,0,52082,34493,46429
18/07/17,133349,1.53%,0,52232,34605,46512
19/07/17,133554,1.69%,0,52304,34639,46611
20/07/17,133445,1.61%,0,52237,34624,46584
21/07/17,133466,1.62%,0,52231,34669,46566
24/07/17,133371,1.55%,0,52191,34676,46504
25/07/17,133718,1.81%,0,52361,34719,46638
26/07/17,133944,1.98%,0,52497,34726,46721
27/07/17,133981,2.01%,0,52539,34748,46694
