Date,Total,MTH AVG,Fisher,Sharesies,InvestNow,SuperLife,ANZ,IQ Option,Other
11/07/17,12000,0.00%,12000,0,0,0,,,
12/07/17,11995,(0.04%),11995,,,,,,
13/07/17,11999,(0.01%),11999,,,,,,
14/07/17,12015,0.13%,12015,,,,,,
17/07/17,12092,0.77%,12092,,,,,,
18/07/17,12108,0.90%,12108,,,,,,
19/07/17,12101,0.84%,12101,,,,,,
20/07/17,12103,0.86%,12103,,,,,,
21/07/17,12108,0.90%,12108,,,,,,
24/07/17,12102,0.85%,12102,,,,,,
25/07/17,12112,0.93%,12112,,,,,,
26/07/17,12125,1.04%,12125,,,,,,
27/07/17,12113,0.94%,12113,,,,,,
28/07/17,12087,0.73%,12087,,,,,,
31/07/17,12117,0.98%,12117,0,,,,,
01/08/17,12140,0.19%,12140,0,,,,,
02/08/17,13173,8.72%,13173,0,,,,,
03/08/17,13183,8.80%,13183,0,,,,,
04/08/17,13170,8.69%,13170,0,,,,,
07/08/17,13216,9.07%,13216,0,,,,,
08/08/17,13210,9.02%,13210,0,,,,,
09/08/17,13236,9.23%,13236,0,,,,,
10/08/17,13235,9.23%,13235,0,,,,,
11/08/17,13129,8.35%,13129,0,,,,,
14/08/17,13158,8.59%,13158,0,,,,,
15/08/17,13178,8.76%,13178,0,,,,,
16/08/17,13226,9.15%,13226,0,,,,,
17/08/17,13222,9.12%,13222,0,,,,,
18/08/17,13235,9.23%,13235,0,,,,,
21/08/17,13240,9.27%,13240,0,,,,,
22/08/17,13266,9.48%,13266,0,,,,,
23/08/17,13269,9.51%,13269,0,,,,,
24/08/17,13267,9.49%,13267,0,,,,,
25/08/17,13229,9.18%,13229,0,,,,,
28/08/17,13209,9.01%,13209,0,,,,,
29/08/17,13134,8.39%,13134,0,,,,,
30/08/17,13157,8.58%,13157,0,,,,,
31/08/17,13253,9.38%,13253,0,,,,,
01/09/17,13248,(0.04%),13248,0,,,,,
04/09/17,13232,(0.16%),13232,0,,,,,
05/09/17,13194,(0.45%),13194,0,,,,,
06/09/17,13191,(0.47%),13191,0,,,,,
07/09/17,17885,34.95%,17885,0,,,,,
08/09/17,13199,(0.41%),13199,0,,,,,
11/09/17,13235,(0.14%),13235,0,,,,,
12/09/17,13212,(0.31%),13212,0,,,,,
13/09/17,13211,(0.32%),13211,0,,,,,
