Date,Total,MTH AVG,Milford
20/04/17,111190,,111190
21/04/17,111197,0.01%,111197
24/04/17,111361,0.15%,111361
26/04/17,111699,0.46%,111699
27/04/17,111939,0.67%,111939
28/04/17,112032,0.76%,112032
1/05/17,112155,0.11%,112155
2/05/17,112366,0.30%,112366
3/05/17,112392,0.32%,112392
4/05/17,112430,0.36%,112430
5/05/17,112311,0.25%,112311
8/05/17,112321,0.26%,112321
9/05/17,112450,0.37%,112450
10/05/17,112557,0.47%,112557
11/05/17,112766,0.66%,112766
12/05/17,112828,0.71%,112828
15/05/17,112791,0.68%,112791
16/05/17,112839,0.72%,112839
17/05/17,112686,0.58%,112686
18/05/17,112572,0.48%,112572
19/05/17,112627,0.53%,112627
22/05/17,112707,0.60%,112707
23/05/17,112750,0.64%,112750
24/05/17,112817,0.70%,112817
25/05/17,112943,0.81%,112943
26/05/17,112966,0.83%,112966
29/05/17,112833,0.71%,112833
30/05/17,112726,0.62%,112726
31/05/17,112766,0.66%,112766
1/06/17,112903,0.12%,112903
2/06/17,113004,0.21%,113004
6/06/17,112939,0.15%,112939
7/06/17,112847,0.07%,112847
8/06/17,112785,0.02%,112785
9/06/17,112712,(0.05%),112712
12/06/17,112677,(0.08%),112677
13/06/17,112855,0.08%,112855
14/06/17,113023,0.23%,113023
15/06/17,113205,0.39%,113205
16/06/17,113213,0.40%,113213
19/06/17,113399,0.56%,113399
20/06/17,113322,0.49%,113322
21/06/17,113142,0.33%,113142
22/06/17,113040,0.24%,113040
23/06/17,113110,0.31%,113110
26/06/17,113138,0.33%,113138
27/06/17,113187,0.37%,113187
28/06/17,113218,0.40%,113218
29/06/17,113272,0.45%,113272
30/06/17,113096,0.29%,113096
3/07/17,112890,(0.18%),112890
4/07/17,113011,(0.08%),113011
5/07/17,113087,(0.01%),113087
6/07/17,113098,0.00%,113098
7/07/17,112986,(0.10%),112986
10/07/17,112942,(0.14%),112942
11/07/17,112959,(0.12%),112959
12/07/17,112854,(0.21%),112854
13/07/17,112895,(0.18%),112895
14/07/17,113087,(0.01%),113087
17/07/17,113259,0.14%,113259
18/07/17,113189,0.08%,113189
19/07/17,113289,0.17%,113289
20/07/17,113280,0.16%,113280
21/07/17,113282,0.16%,113282
24/07/17,113181,0.08%,113181
25/07/17,113334,0.21%,113334
26/07/17,113474,0.33%,113474
27/07/17,113593,0.44%,113593
28/07/17,113425,0.29%,113425
31/07/17,113409,0.28%,113409
1/08/17,113541,0.12%,113541
2/08/17,113705,0.26%,113705
3/08/17,113746,0.30%,113746
