Date,Total,MTH AVG,Total
21/03/17,523967,0.00%,523967
22/03/17,523967,0.00%,523967
23/03/17,524056,0.02%,524056
24/03/17,524106,0.03%,524106
27/03/17,524162,0.04%,524162
28/03/17,524264,0.06%,524264
29/03/17,524390,0.08%,524390
30/03/17,524385,0.08%,524385
31/03/17,527069,0.59%,527069
05/04/17,526057,(0.19%),526057
06/04/17,526505,(0.11%),526505
07/04/17,525898,(0.22%),525898
10/04/17,525880,(0.23%),525880
11/04/17,526797,(0.05%),526797
12/04/17,526586,(0.09%),526586
13/04/17,525684,(0.26%),525684
18/04/17,525266,(0.34%),525266
19/04/17,524372,(0.51%),524372
20/04/17,524383,(0.51%),524383
21/04/17,524598,(0.47%),524598
24/04/17,525621,(0.27%),525621
26/04/17,528309,0.24%,528309
27/04/17,529277,0.42%,529277
28/04/17,529607,0.48%,529607
01/05/17,530223,0.12%,530223
02/05/17,531571,0.37%,531571
03/05/17,531653,0.39%,531653
04/05/17,532310,0.51%,532310
05/05/17,531776,0.41%,531776
08/05/17,531950,0.44%,531950
09/05/17,532683,0.58%,532683
10/05/17,533276,0.69%,533276
11/05/17,534290,0.88%,534290
12/05/17,534921,1.00%,534921
15/05/17,534521,0.93%,534521
16/05/17,538941,1.76%,538941
17/05/17,537566,1.50%,537566
18/05/17,536886,1.37%,536886
19/05/17,537492,1.49%,537492
22/05/17,537850,1.56%,537850
23/05/17,537869,1.56%,537869
24/05/17,538586,1.70%,538586
25/05/17,539125,1.80%,539125
26/05/17,539089,1.79%,539089
29/05/17,538578,1.69%,538578
30/05/17,537785,1.54%,537785
31/05/17,537876,1.56%,537876
01/06/17,543022,0.96%,543022
02/06/17,543775,1.10%,543775
06/06/17,542669,0.89%,542669
07/06/17,542386,0.84%,542386
08/06/17,541910,0.75%,541910
09/06/17,541622,0.70%,541622
12/06/17,541292,0.64%,541292
13/06/17,542467,0.85%,542467
14/06/17,543178,0.99%,543178
15/06/17,543955,1.13%,543955
16/06/17,544109,1.16%,544109
19/06/17,545361,1.39%,545361
20/06/17,544644,1.26%,544644
21/06/17,543418,1.03%,543418
22/06/17,543061,0.96%,543061
23/06/17,543333,1.01%,543333
26/06/17,543396,1.03%,543396
27/06/17,543364,1.02%,543364
28/06/17,543719,1.09%,543719
29/06/17,543947,1.13%,543947
30/06/17,542461,0.85%,542461
03/07/17,545683,0.59%,545683
04/07/17,546391,0.72%,546391
05/07/17,546614,0.77%,546614
06/07/17,547219,0.88%,547219
07/07/17,546624,0.77%,546624
10/07/17,546921,0.82%,546921
11/07/17,546433,0.73%,546433
12/07/17,546235,0.70%,546235
13/07/17,546479,0.74%,546479
14/07/17,548284,1.07%,548284
17/07/17,549411,1.28%,549411
18/07/17,549520,1.30%,549520
19/07/17,550071,1.40%,550071
20/07/17,550217,1.43%,550217
21/07/17,550042,1.40%,550042
24/07/17,548814,1.17%,548814
25/07/17,549870,1.37%,549870
26/07/17,551210,1.61%,551210
27/07/17,551823,1.73%,551823
28/07/17,550301,1.45%,550301
31/07/17,549819,1.36%,549819
01/08/17,550547,0.13%,550547
02/08/17,556677,1.25%,556677
03/08/17,556950,1.30%,556950
04/08/17,557450,1.39%,557450
07/08/17,558392,1.56%,558392
08/08/17,558668,1.61%,558668
09/08/17,558654,1.61%,558654
10/08/17,558481,1.58%,558481
11/08/17,557670,1.43%,557670
14/08/17,557916,1.47%,557916
15/08/17,560429,1.93%,560429
16/08/17,561354,2.10%,561354
17/08/17,561600,2.14%,561600
18/08/17,561935,2.20%,561935
21/08/17,561218,2.07%,561218
22/08/17,562133,2.24%,562133
23/08/17,562648,2.33%,562648
24/08/17,563316,2.45%,563316
25/08/17,563759,2.54%,563759
28/08/17,563286,2.45%,563286
29/08/17,561730,2.17%,561730
30/08/17,561884,2.19%,561884
31/08/17,563946,2.57%,563946
01/09/17,568987,0.89%,568987
04/09/17,569270,0.94%,569270
05/09/17,567792,0.68%,567792
06/09/17,568186,0.75%,568186
07/09/17,573050,1.61%,573050
08/09/17,569203,0.93%,569203
11/09/17,570227,1.11%,570227
12/09/17,570608,1.18%,570608
13/09/17,570449,1.15%,570449
14/09/17,570546,1.17%,570546
15/09/17,569849,1.05%,569849
18/09/17,569179,0.93%,569179
19/09/17,570371,1.14%,570371
20/09/17,569558,1.00%,569558
21/09/17,569525,0.99%,569525
22/09/17,569272,0.94%,569272
25/09/17,570520,1.17%,570520
26/09/17,571663,1.37%,571663
27/09/17,572523,1.52%,572523
28/09/17,572824,1.57%,572824
29/09/17,573218,1.64%,573218
02/10/17,578140,0.86%,578140
03/10/17,578783,0.97%,578783
04/10/17,578817,0.98%,578817
05/10/17,579568,1.11%,579568
06/10/17,580635,1.29%,580635
09/10/17,582031,1.54%,582031
10/10/17,583098,1.72%,583098
11/10/17,584815,2.02%,584815
12/10/17,585713,2.18%,585713
13/10/17,585864,2.21%,585864
16/10/17,586404,2.30%,586404
17/10/17,587118,2.42%,587118
18/10/17,588027,2.58%,588027
19/10/17,589533,2.85%,589533
20/10/17,591613,3.21%,591613
24/10/17,592040,3.28%,592040
25/10/17,592574,3.38%,592574
26/10/17,593289,3.50%,593289
27/10/17,594590,3.73%,594590
30/10/17,594826,3.77%,594826
31/10/17,596801,4.11%,596801
01/11/17,600613,0.64%,600613
02/11/17,600240,0.58%,600240
03/11/17,601324,0.76%,601324
06/11/17,600545,0.63%,600545
07/11/17,601252,0.75%,601252
08/11/17,601451,0.78%,601451
09/11/17,601576,0.80%,601576
10/11/17,601514,0.79%,601514
13/11/17,601375,0.77%,601375
14/11/17,601053,0.71%,601053
15/11/17,600130,0.56%,600130
