Date,Total,MTH AVG,Milford,Cash,Other
21/03/17,223032,0.00%,52536,95065,75431
22/03/17,223032,0.00%,52536,95065,75431
23/03/17,223121,0.04%,52625,95065,75431
24/03/17,223171,0.06%,52674,95066,75431
27/03/17,223227,0.09%,52730,95066,75431
28/03/17,223329,0.13%,52832,95066,75431
29/03/17,223455,0.19%,52958,95066,75431
30/03/17,223450,0.19%,146953,1066,75431
31/03/17,226134,1.39%,147022,42858,36254
03/04/17,226096,(0.02%),147014,42857,36225
04/04/17,225684,(0.20%),146598,42912,36174
05/04/17,225473,(0.29%),188575,1120,35778
06/04/17,226006,(0.06%),189002,1120,35884
07/04/17,225501,(0.28%),188998,1120,35383
10/04/17,225286,(0.37%),188753,1120,35413
11/04/17,225821,(0.14%),189104,1120,35597
12/04/17,225748,(0.17%),189151,1502,35095
13/04/17,225156,(0.43%),188688,1502,34966
18/04/17,224919,(0.54%),188451,1502,34966
19/04/17,224405,(0.76%),222935,1470,0
20/04/17,224447,(0.75%),222977,1470,0
21/04/17,224515,(0.72%),223045,1470,0
24/04/17,224895,(0.55%),223425,1470,0
26/04/17,225704,(0.19%),224234,1470,0
27/04/17,226063,(0.03%),224593,1470,0
28/04/17,226172,0.02%,224702,1470,0
01/05/17,226483,0.14%,225013,1470,
02/05/17,227135,0.43%,225665,1470,
03/05/17,227160,0.44%,225690,1470,
04/05/17,227185,0.45%,225715,1470,
05/05/17,226925,0.33%,225455,1470,
08/05/17,226950,0.34%,225480,1470,
09/05/17,227308,0.50%,225838,1470,
10/05/17,227545,0.61%,226075,1470,
11/05/17,227934,0.78%,226464,1470,
12/05/17,228123,0.86%,226653,1470,
15/05/17,227854,0.74%,226384,1470,
16/05/17,228054,0.83%,226584,1470,
17/05/17,227410,0.55%,225940,1470,
18/05/17,227067,0.40%,225597,1470,
19/05/17,227265,0.48%,225795,1470,
22/05/17,227431,0.56%,225961,1470,
23/05/17,227428,0.56%,225958,1470,
24/05/17,227774,0.71%,226304,1470,
25/05/17,227994,0.81%,226524,1470,
26/05/17,227964,0.79%,226494,1470,
29/05/17,227739,0.69%,226269,1470,
30/05/17,227393,0.54%,225923,1470,
31/05/17,227398,0.54%,225928,1470,0
01/06/17,227971,0.25%,226501,1470,
02/06/17,228324,0.41%,226854,1470,
06/06/17,227754,0.16%,226284,1470,
07/06/17,227719,0.14%,226249,1470,
08/06/17,227481,0.04%,226011,1470,
09/06/17,227373,(0.01%),225903,1470,
12/06/17,227204,(0.09%),225734,1470,
13/06/17,227755,0.16%,226285,1470,
14/06/17,228040,0.28%,226570,1470,
