sp_date,sp_fund,sp_price
10/04/19,APA,1.9844
10/04/19,EMF,1.2990
10/04/19,EUF,1.6316
10/04/19,FNZ,2.7491
10/04/19,OZY,3.6973
10/04/19,TNZ,1.6805
10/04/19,TWF,2.2170
10/04/19,USF,7.8542
10/04/19,USG,4.6746
10/04/19,USV,3.2515
10/04/19,MDZ,5.3716
10/04/19,MZY,6.8488
10/04/19,USM,4.8318
10/04/19,USS,4.5815
10/04/19,NZB,3.0583
10/04/19,NZC,2.9822
10/04/19,GBF,3.1917
10/04/19,ASD,1.6502
10/04/19,DIV,1.2284
10/04/19,ASF,6.9027
10/04/19,ASP,1.5413
10/04/19,ASR,5.1804
10/04/19,NPF,1.2706
10/04/19,AIF_O,2.7905
10/04/19,AIF_G,2.8821
10/04/19,AIF_EM,1.2436
10/04/19,AIF_CI,1.6237
10/04/19,AIF_HI,1.6124
10/04/19,AIF_I,3.0811
10/04/19,AIF_R,1.7601
10/04/19,AIF_E,3.1044
10/04/19,AIF_RE,2.2925
10/04/19,MKC,1.7496
10/04/19,MKB,2.2849
10/04/19,MKA,3.6621
10/04/19,MBT,1.1372
10/04/19,MBG,1.0335
10/04/19,MPC,1.1390
10/04/19,MPD,1.7255
10/04/19,MPB,2.2395
10/04/19,MPA,3.6140
10/04/19,MPU,1.0193
10/04/19,MPG,1.5738
10/04/19,MPT,2.7733
10/04/19,MPY,1.7954
9/04/19,FPI,1.0446
9/04/19,FPP,2.8177
10/04/19,FPZ,9.6436
10/04/19,FPA,3.8983
9/04/19,FPG,2.2642
10/04/19,NPE,2.4012
10/04/19,NPC,2.2871
10/04/19,NPG,1.2991
10/04/19,NPH,2.1003
10/04/19,NPU,1.9403
10/04/19,VHF,1.2145
10/04/19,VIF,1.2387
10/04/19,APZ,5.2805
10/04/19,APE,2.3434
10/04/19,APS,3.8799
10/04/19,APG,2.3956
10/04/19,TRUST,251213
10/04/19,JOINT,78350
10/04/19,KIWI_SAM,163037
10/04/19,KATE,123072
10/04/19,SAM,25952
10/04/19,TOTAL,641624
10/04/19,DPP,1.7175
10/04/19,DPA,1.4267
10/04/19,DPY,1.9127
10/04/19,DPT,3.9822
10/04/19,DPG,2.8802
10/04/19,DPD,1.5722
