Date,Fund,Close
2000-01-02,AIR.NZ,9.0441
2000-01-04,AIR.NZ,11.5862
2000-01-05,AIR.NZ,11.6351
2000-01-06,AIR.NZ,11.5862
2000-01-09,AIR.NZ,11.7328
2000-01-10,AIR.NZ,11.5862
2000-01-11,AIR.NZ,11.3418
2000-01-12,AIR.NZ,11.1951
2000-01-13,AIR.NZ,11.1951
2000-01-16,AIR.NZ,10.9507
2000-01-17,AIR.NZ,10.4129
2000-01-18,AIR.NZ,10.3151
2000-01-19,AIR.NZ,9.7774
2000-01-20,AIR.NZ,10.2174
2000-01-23,AIR.NZ,10.4618
2000-01-24,AIR.NZ,10.3151
2000-01-25,AIR.NZ,10.0707
2000-01-26,AIR.NZ,10.1685
2000-01-27,AIR.NZ,10.0707
2000-01-30,AIR.NZ,10.1685
2000-01-31,AIR.NZ,10.1685
2000-02-01,AIR.NZ,10.0218
2000-02-02,AIR.NZ,9.6796
2000-02-03,AIR.NZ,9.8751
2000-02-06,AIR.NZ,9.8263
2000-02-07,AIR.NZ,9.8263
2000-02-08,AIR.NZ,9.7774
2000-02-09,AIR.NZ,9.4841
2000-02-10,AIR.NZ,9.8263
2000-02-13,AIR.NZ,9.8751
2000-02-14,AIR.NZ,10.1196
2000-02-15,AIR.NZ,9.6796
2000-02-16,AIR.NZ,9.9729
2000-02-17,AIR.NZ,9.2885
2000-02-20,AIR.NZ,9.7774
2000-02-21,AIR.NZ,9.6796
2000-02-22,AIR.NZ,9.6307
2000-02-23,AIR.NZ,9.3863
2000-02-24,AIR.NZ,9.3863
2000-02-27,AIR.NZ,9.3374
2000-02-28,AIR.NZ,9.4352
2000-02-29,AIR.NZ,9.0441
2000-03-01,AIR.NZ,9.0441
2000-03-02,AIR.NZ,8.9463
2000-03-05,AIR.NZ,8.8974
2000-03-06,AIR.NZ,8.7996
2000-03-07,AIR.NZ,8.7019
2000-03-08,AIR.NZ,8.7508
2000-03-09,AIR.NZ,8.8485
2000-03-12,AIR.NZ,9.5329
2000-03-13,AIR.NZ,9.4841
2000-03-14,AIR.NZ,9.8751
2000-03-15,AIR.NZ,9.7774
2000-03-16,AIR.NZ,9.7774
2000-03-19,AIR.NZ,9.4841
2000-03-20,AIR.NZ,9.4841
2000-03-21,AIR.NZ,9.1907
2000-03-22,AIR.NZ,9.2885
2000-03-23,AIR.NZ,9.2885
2000-03-26,AIR.NZ,9.3863
2000-03-27,AIR.NZ,9.1907
2000-03-28,AIR.NZ,9.0930
2000-03-29,AIR.NZ,9.0930
2000-03-30,AIR.NZ,9.3863
2000-04-02,AIR.NZ,9.1907
2000-04-03,AIR.NZ,9.7285
2000-04-04,AIR.NZ,9.8263
2000-04-05,AIR.NZ,10.0218
2000-04-06,AIR.NZ,10.1685
2000-04-09,AIR.NZ,10.0707
2000-04-10,AIR.NZ,10.0707
2000-04-11,AIR.NZ,10.3640
2000-04-12,AIR.NZ,10.0707
2000-04-13,AIR.NZ,9.9240
2000-04-16,AIR.NZ,9.2885
2000-04-17,AIR.NZ,9.3863
2000-04-18,AIR.NZ,9.1418
2000-04-19,AIR.NZ,9.2885
2000-04-20,AIR.NZ,1.9000
2000-04-23,AIR.NZ,1.9000
2000-04-24,AIR.NZ,1.9000
2000-04-25,AIR.NZ,9.6796
2000-04-26,AIR.NZ,9.6796
2000-04-27,AIR.NZ,9.7285
2000-04-30,AIR.NZ,9.2885
2000-05-01,AIR.NZ,9.5329
2000-05-02,AIR.NZ,9.4352
2000-05-03,AIR.NZ,9.3863
2000-05-04,AIR.NZ,9.3374
2000-05-07,AIR.NZ,9.4841
2000-05-08,AIR.NZ,1.9400
2000-05-09,AIR.NZ,9.4352
2000-05-10,AIR.NZ,9.3374
2000-05-11,AIR.NZ,9.3863
2000-05-14,AIR.NZ,9.1418
2000-05-15,AIR.NZ,9.0441
2000-05-16,AIR.NZ,9.1418
2000-05-17,AIR.NZ,9.0441
2000-05-18,AIR.NZ,9.0930
2000-05-21,AIR.NZ,8.7996
2000-05-22,AIR.NZ,9.0441
2000-05-23,AIR.NZ,8.8974
2000-05-24,AIR.NZ,8.8974
2000-05-25,AIR.NZ,8.8485
2000-05-28,AIR.NZ,8.9463
