Year,Month,Mth id,Multiplier,Stop
2017,3,1,1.0100,129036
2017,4,2,1.020100,130326
2017,5,3,1.030301,131629
2017,6,4,1.040604,132945
2017,7,5,1.051010,134275
2017,8,6,1.061520,135618
2017,9,7,1.072135,136974
2017,10,8,1.082857,138344
2017,11,9,1.093685,139727
2017,12,10,1.104622,141124
2018,1,11,1.1157,142536
2018,2,12,1.126825,143961
2018,3,13,1.138093,145401
2018,4,14,1.149474,146855
2018,5,15,1.160969,148323
2018,6,16,1.172579,149806
2018,7,17,1.184304,151304
2018,8,18,1.196147,152817
2018,9,19,1.208109,154346
2018,10,20,1.220190,155889
2018,11,21,1.232392,157448
2018,12,22,1.244716,159022
2019,1,23,1.2572,160613
2019,2,24,1.2697,162219
2019,3,25,1.2824,163841
2019,4,26,1.2953,165479
2019,5,27,1.3082,167134
2019,6,28,1.3213,168805
2019,7,29,1.3345,170494
2019,8,30,1.3478,172198
2019,9,31,1.3613,173920
2019,10,32,1.3749,175660
2019,11,33,1.3887,177416
2019,12,34,1.4026,179190
2020,1,35,1.4166,180982
2020,2,36,1.4308,182792
2020,3,37,1.4451,184620
2020,4,38,1.4595,186466
2020,5,39,1.4741,188331
2020,6,40,1.4889,190214
2020,7,41,1.5038,192116
2020,8,42,1.5188,194038
2020,9,43,1.5340,195978
2020,10,44,1.5493,197938
2020,11,45,1.5648,199917
2020,12,46,1.5805,201916
2021,1,47,1.5963,203935
2021,2,48,1.6122,205975
2021,3,49,1.6283,208035
2021,4,50,1.6446,210115
2021,5,51,1.6611,212216
2021,6,52,1.6777,214338
2021,7,53,1.6945,216482
2021,8,54,1.7114,218646
2021,9,55,1.7285,220833
2021,10,56,1.7458,223041
2021,11,57,1.7633,225272
2021,12,58,1.7809,227524
2022,1,59,1.7987,229800
2022,2,60,1.8167,232098
2022,3,61,1.8349,234419
2022,4,62,1.8532,236763
2022,5,63,1.8717,239130
2022,6,64,1.8905,241522
2022,7,65,1.9094,243937
2022,8,66,1.9285,246376
2022,9,67,1.9477,248840
2022,10,68,1.9672,251328
2022,11,69,1.9869,253842
2022,12,70,2.0068,256380
2023,1,71,2.0268,258944
2023,2,72,2.0471,261533
2023,3,73,2.0676,264149
2023,4,74,2.0882,266790
2023,5,75,2.1091,269458
2023,6,76,2.1302,272153
2023,7,77,2.1515,274874
2023,8,78,2.1730,277623
2023,9,79,2.1948,280399
2023,10,80,2.2167,283203
2023,11,81,2.2389,286035
2023,12,82,2.2613,288895
2024,1,83,2.2839,291784
2024,2,84,2.3067,294702
2024,3,85,2.3298,297649
2024,4,86,2.3531,300626
2024,5,87,2.3766,303632
2024,6,88,2.4004,306668
2024,7,89,2.4244,309735
2024,8,90,2.4486,312832
2024,9,91,2.4731,315961
2024,10,92,2.4979,319120
2024,11,93,2.5228,322312
2024,12,94,2.5481,325535
2025,1,95,2.5735,328790
2025,2,96,2.5993,332078
2025,3,97,2.6253,335399
2025,4,98,2.6515,338753
2025,5,99,2.6780,342140
2025,6,100,2.7048,345562
2025,7,101,2.7319,349017
2025,8,102,2.7592,352507
2025,9,103,2.7868,356032
2025,10,104,2.8146,359593
2025,11,105,2.8428,363189
2025,12,106,2.8712,366821
2026,1,107,2.8999,370489
2026,2,108,2.9289,374194
2026,3,109,2.9582,377936
2026,4,110,2.9878,381715
2026,5,111,3.0177,385532
2026,6,112,3.0479,389387
2026,7,113,3.0783,393281
2026,8,114,3.1091,397214
2026,9,115,3.1402,401186
2026,10,116,3.1716,405198
2026,11,117,3.2033,409250
2026,12,118,3.2354,413343
2027,1,119,3.2677,417476
2027,2,120,3.3004,421651
2027,3,121,3.3334,425867
2027,4,122,3.3667,430126
2027,5,123,3.4004,434427
2027,6,124,3.4344,438772
2027,7,125,3.4687,443159
2027,8,126,3.5034,447591
2027,9,127,3.5385,452067
2027,10,128,3.5738,456587
2027,11,129,3.6096,461153
2027,12,130,3.6457,465765
2028,1,131,3.6821,470422
2028,2,132,3.7190,475127
