sp_date,sp_fund,sp_price
02/07/19,AIA.NZ,0
02/07/19,AIR.NZ,0
02/07/19,ARG.NZ,0
02/07/19,ASD,0
02/07/19,ASF,0
02/07/19,ASP,0
02/07/19,ATM.NZ,0
02/07/19,CEN.NZ,0
02/07/19,CNU.NZ,0
02/07/19,DIV,0
02/07/19,EBO.NZ,0
02/07/19,FBU.NZ,0
02/07/19,FPH.NZ,0
02/07/19,FRE.NZ,0
02/07/19,GMT.NZ,0
02/07/19,GNE.NZ,0
02/07/19,IFT.NZ,0
02/07/19,IPL.NZ,0
02/07/19,MEL,0
02/07/19,MZY,0
02/07/19,PCT.NZ,0
02/07/19,PFI.NZ,0
02/07/19,POT.NZ,0
02/07/19,PPH.NZ,0
02/07/19,RBD.NZ,0
02/07/19,RYM.NZ,0
02/07/19,SCL.NZ,0
02/07/19,SKC.NZ,0
02/07/19,SKO.NZ,0
02/07/19,SPG.NZ,0
02/07/19,TNZ,0
02/07/19,TWF,0
02/07/19,USG,0
02/07/19,USM,0
02/07/19,USS,0
02/07/19,USV,0
02/07/19,VGL.NZ,0
01/07/19,MKC,-1
01/07/19,MKB,-1
01/07/19,MKA,-1
01/07/19,MBT,-1
01/07/19,MBG,-1
01/07/19,MPC,-1
01/07/19,MPD,-1
01/07/19,MPB,-1
01/07/19,MPA,-1
01/07/19,MPU,-1
01/07/19,MPG,-1
01/07/19,MPT,-1
01/07/19,MPY,-1
02/07/19,AIF_PI,0
02/07/19,AIF_RE,0
02/07/19,APA,0
02/07/19,ASR,0
02/07/19,OZY,0
02/07/19,EMF,0
02/07/19,EMG,0
02/07/19,EUF,0
02/07/19,EUG,0
02/07/19,AGG,0
02/07/19,BOT,0
02/07/19,GBF,0
02/07/19,LIV,0
02/07/19,ESG,0
02/07/19,JPN,0
02/07/19,NZB,0
02/07/19,NZC,0
02/07/19,ZNPECT,0
02/07/19,MDZ,0
02/07/19,NPF,0
02/07/19,FNZ,0
02/07/19,450005,0
02/07/19,450007,0
02/07/19,450002,0
02/07/19,USF,0
02/07/19,USA,0
01/07/19,TRUST,-1
01/07/19,JOINT,-1
01/07/19,KIWISAVER,-1
01/07/19,KATE,-1
01/07/19,SAM,-1
01/07/19,TOTAL,-1
