sp_date,sp_fund,sp_price
30/04/19,APA,2.0279
30/04/19,EMF,1.3021
30/04/19,EUF,1.6705
30/04/19,FNZ,1.8090
30/04/19,OZY,3.7535
30/04/19,TNZ,1.7630
30/04/19,TWF,2.2756
30/04/19,USF,8.1226
30/04/19,USG,4.8666
30/04/19,USV,3.3420
30/04/19,MDZ,5.4001
30/04/19,MZY,6.9617
30/04/19,USM,4.9667
30/04/19,USS,4.7433
30/04/19,NZB,3.0629
30/04/19,NZC,2.9848
30/04/19,GBF,3.1955
30/04/19,ASD,1.6466
30/04/19,DIV,1.2350
30/04/19,ASF,7.2345
30/04/19,ASP,1.5561
30/04/19,ASR,4.9175
30/04/19,NPF,1.3015
30/04/19,AIF_O,2.8553
30/04/19,AIF_G,2.9250
30/04/19,AIF_EM,1.2401
30/04/19,AIF_CI,1.6551
30/04/19,AIF_HI,1.6251
30/04/19,AIF_I,3.1233
30/04/19,AIF_R,1.7893
30/04/19,AIF_E,3.2183
30/04/19,AIF_RE,2.3692
30/04/19,MKC,1.7610
30/04/19,MKB,2.3175
30/04/19,MKA,3.7237
30/04/19,MBT,1.1418
30/04/19,MBG,1.0378
30/04/19,MPC,1.1390
30/04/19,MPD,1.7425
30/04/19,MPB,2.2716
30/04/19,MPA,3.6813
30/04/19,MPU,1.0291
30/04/19,MPG,1.6058
30/04/19,MPT,2.8453
30/04/19,MPY,1.8419
29/04/19,FPI,1.0472
29/04/19,FPP,2.8552
30/04/19,FPZ,9.9928
30/04/19,FPA,3.9725
29/04/19,FPG,2.3218
30/04/19,NPE,2.4824
30/04/19,NPC,2.3581
30/04/19,NPG,1.3370
30/04/19,NPH,2.1636
30/04/19,NPU,1.9694
30/04/19,VHF,1.2366
30/04/19,VIF,1.2764
30/04/19,APZ,5.4620
30/04/19,APE,2.3728
30/04/19,APS,3.9067
30/04/19,APG,2.4514
30/04/19,TRUST,255583
30/04/19,JOINT,79320
30/04/19,KIWI_SAM,166054
30/04/19,KATE,125446
30/04/19,SAM,25871
30/04/19,TOTAL,652273
30/04/19,DPP,1.7152
30/04/19,DPA,1.4102
30/04/19,DPY,1.9088
30/04/19,DPT,3.9766
30/04/19,DPG,2.9247
30/04/19,DPD,1.5618
